學校類別,學校代碼,學校名稱,在學學生人數_博士班,在學學生人數_碩士班,在學學生人數_學士班,在學學生人數_二專,在學學生人數_五專,上學年度畢業生人數_博士,上學年度畢業生人數_碩士,上學年度畢業生人數_學士,上學年度畢業生人數_二專,上學年度畢業生人數_五專
大專校院,1079,康寧大學,0,2,84,15,72,0,1,4,5,3
大專校院,3002,臺北市立大學,1,34,302,0,0,0,18,84,0,0
大專校院,0144,國立臺灣戲曲學院,0,0,24,0,0,0,0,1,0,0
大專校院,1125,中信?融管?學院,0,0,3,0,0,0,0,23,0,0
大專校院,1148,大漢技術學院,0,17,455,81,0,0,2,93,27,0
大專校院,1159,和春技術學院,0,0,158,36,5,0,0,7,0,0
大專校院,1166,亞東技術學院,0,0,53,0,0,0,0,15,0,0
大專校院,1168,桃園創新技術學院,0,2,205,0,4,0,0,27,0,0
大專校院,1176,稻江科技暨管理學院,0,3,132,0,0,0,1,32,0,0
大專校院,1179,德霖技術學院,0,0,112,16,30,0,0,18,6,1
大專校院,1182,蘭陽技術學院,0,0,46,0,31,0,0,16,0,2
大專校院,1183,黎明技術學院,0,0,98,4,10,0,0,12,3,1
大專校院,1184,東方設計學院,0,1,34,0,28,0,0,1,0,0
大專校院,1185,經國管理暨健康學院,0,1,67,0,58,0,0,14,0,5
大專校院,1187,崇右技術學院,0,1,106,0,16,0,0,3,0,2
大專校院,1188,大同技術學院,0,0,115,0,7,0,0,23,0,0
大專校院,1189,亞太創意技術學院,0,3,63,5,0,0,0,21,3,0
大專校院,1192,臺灣觀光學院,0,3,232,10,57,0,0,44,13,3
大專校院,1195,馬偕醫學院,0,0,22,0,0,0,0,0,0,0
大專校院,1196,法鼓文理學院,0,1,0,0,0,0,0,0,0,0
大專校院,1197,台北海洋技術學院,0,0,106,14,24,0,0,10,2,1
大專校院,0221,國立臺南護理專科學校,0,0,0,8,61,0,0,0,0,8
大專校院,0222,國立臺東專科學校,0,0,0,53,130,0,0,0,19,6
大專校院,1282,馬偕醫護管理專科學校,0,0,0,6,535,0,0,0,7,46
大專校院,1283,仁德醫護管理專科學校,0,0,0,6,238,0,0,0,8,29
大專校院,1284,樹人醫護管理專科學校,0,0,0,5,207,0,0,0,0,11
大專校院,1285,慈惠醫護管理專科學校,0,0,0,57,628,0,0,0,19,80
大專校院,1286,耕莘健康管理專科學校,0,0,0,0,177,0,0,0,0,20
大專校院,1287,敏惠醫護管理專科學校,0,0,0,0,78,0,0,0,0,16
大專校院,1288,高美醫護管理專科學校,0,0,0,30,62,0,0,0,7,7
大專校院,1289,育英醫護管理專科學校,0,0,0,0,34,0,0,0,0,6
大專校院,1290,崇仁醫護管理專科學校,0,0,0,0,43,0,0,0,0,5
大專校院,1291,聖母醫護管理專科學校,0,0,0,0,360,0,0,0,0,37
大專校院,1292,新生醫護管理專科學校,0,0,0,5,454,0,0,0,2,48
宗教研修學院,1R02,基督教台灣浸會神學院,0,3,0,0,0,0,0,0,0,0
宗教研修學院,1R03,臺北基督學院,0,0,6,0,0,0,0,0,0,0
空大及附設進修學校,0A01,國立空中大學,0,0,329,92,0,0,0,39,13,0
空大及附設進修學校,0A09,國立臺中科技大學附進修專校,0,0,0,7,0,0,0,0,3,0
空大及附設進修學校,0A10,國立臺北商業大學附進修專校,0,0,0,36,0,0,0,0,1,0
空大及附設進修學校,0A11,國立勤益科技大學附進修專校,0,0,0,9,0,0,0,0,2,0
空大及附設進修學校,0A12,國立臺北科技大學附進修學院,0,0,3,0,0,0,0,3,0,0
空大及附設進修學校,0A13,國立高雄應用科技大學附進修學院,0,0,8,0,0,0,0,2,0,0
空大及附設進修學校,0A14,國立虎尾科技大學附進修學院,0,0,1,0,0,0,0,0,0,0
空大及附設進修學校,0A15,國立勤益科技大學附進修學院,0,0,3,0,0,0,0,2,0,0
空大及附設進修學校,0A16,國立臺中科技大學附進修學院,0,0,12,0,0,0,0,9,0,0
空大及附設進修學校,0A17,國立臺北商業大學附空中進院,0,0,67,56,0,0,0,30,60,0
空大及附設進修學校,0A18,國立臺中科技大學附空中進院,0,0,19,42,0,0,0,6,7,0
空大及附設進修學校,1A01,高苑科技大學附進修專校,0,0,0,6,0,0,0,0,5,0
空大及附設進修學校,1A02,和春技術學院附進修專校,0,0,0,53,0,0,0,0,20,0
空大及附設進修學校,1A03,環球科技大學附進修專校,0,0,0,12,0,0,0,0,6,0
空大及附設進修學校,1A05,景文科技大學附進修專校,0,0,0,6,0,0,0,0,3,0
空大及附設進修學校,1A06,中州科技大學附進修專校,0,0,0,3,0,0,0,0,3,0
空大及附設進修學校,1A07,美和科技大學附進修專校,0,0,0,22,0,0,0,0,10,0
空大及附設進修學校,1A08,南開科技大學附進修專校,0,0,0,1,0,0,0,0,1,0
空大及附設進修學校,1A09,東方設計學院附進修專校,0,0,0,22,0,0,0,0,3,0
空大及附設進修學校,1A10,遠東科技大學附進修專校,0,0,0,1,0,0,0,0,5,0
空大及附設進修學校,1A11,吳鳳科技大學附進修專校,0,0,0,6,0,0,0,0,3,0
空大及附設進修學校,1A13,亞太創意技術學院附進修專校,0,0,0,13,0,0,0,0,5,0
空大及附設進修學校,1A14,醒吾科技大學附進修專校,0,0,0,19,0,0,0,0,1,0
空大及附設進修學校,1A15,蘭陽技術學院附進修專校,0,0,0,13,0,0,0,0,3,0
空大及附設進修學校,1A16,修平科技大學附進修專校,0,0,0,4,0,0,0,0,1,0
空大及附設進修學校,1A17,嶺東科技大學附進修專校,0,0,0,3,0,0,0,0,0,0
空大及附設進修學校,1A18,崑山科技大學附進修專校,0,0,0,1,0,0,0,0,1,0
空大及附設進修學校,1A19,萬能科技大學附進修專校,0,0,0,4,0,0,0,0,2,0
空大及附設進修學校,1A20,中國科技大學附進修專校,0,0,0,12,0,0,0,0,3,0
空大及附設進修學校,1A21,中華科技大學附進修專校,0,0,0,11,0,0,0,0,2,0
空大及附設進修學校,1A22,正修科技大學附進修專校,0,0,0,19,0,0,0,0,6,0
空大及附設進修學校,1A24,德明財經科技大學附進修專校,0,0,0,2,0,0,0,0,0,0
空大及附設進修學校,1A26,東南科技大學附進修專校,0,0,0,4,0,0,0,0,0,0
空大及附設進修學校,1A27,明新科技大學附進修專校,0,0,0,12,0,0,0,0,4,0
空大及附設進修學校,1A28,桃園創新技術學院附進修專校,0,0,0,6,0,0,0,0,4,0
空大及附設進修學校,1A29,臺北城市科技大學附進修專校,0,0,0,13,0,0,0,0,2,0
空大及附設進修學校,1A30,大同技術學院附進修專校,0,0,0,4,0,0,0,0,4,0
空大及附設進修學校,1A31,大仁科技大學附進修專校,0,0,0,38,0,0,0,0,7,0
空大及附設進修學校,1A33,崇右技術學院附進修專校,0,0,0,34,0,0,0,0,15,0
空大及附設進修學校,1A36,經國管理暨健康學院附進修專校,0,0,0,24,0,0,0,0,2,0
空大及附設進修學校,1A37,建國科技大學附進修專校,0,0,0,4,0,0,0,0,0,0
空大及附設進修學校,1A39,正修科技大學附進修學院,0,0,0,0,0,0,0,1,0,0
空大及附設進修學校,1A41,高苑科技大學附進修學院,0,0,5,0,0,0,0,1,0,0
空大及附設進修學校,1A42,建國科技大學附進修學院,0,0,0,0,0,0,0,1,0,0
空大及附設進修學校,1A44,和春技術學院附進修學院,0,0,35,0,0,0,0,0,0,0
空大及附設進修學校,1A48,臺北城市科技大學附進修學院,0,0,11,0,0,0,0,2,0,0
空大及附設進修學校,1A49,德明財經科技大學附進修學院,0,0,1,0,0,0,0,0,0,0
空大及附設進修學校,1A50,中國科技大學附進修學院,0,0,6,0,0,0,0,3,0,0
空大及附設進修學校,1A51,致理科技大學附進修學院,0,0,0,0,0,0,0,1,0,0
空大及附設進修學校,1A52,醒吾科技大學附進修學院,0,0,5,0,0,0,0,1,0,0
空大及附設進修學校,1A54,桃園創新技術學院附進修學院,0,0,13,0,0,0,0,8,0,0
空大及附設進修學校,1A56,明新科技大學附進修學院,0,0,5,0,0,0,0,1,0,0
空大及附設進修學校,1A57,修平科技大學附進修學院,0,0,4,0,0,0,0,0,0,0
空大及附設進修學校,1A58,環球科技大學附進修學院,0,0,5,0,0,0,0,1,0,0
空大及附設進修學校,1A59,吳鳳科技大學附進修學院,0,0,6,0,0,0,0,6,0,0
空大及附設進修學校,1A61,遠東科技大學附進修學院,0,0,2,0,0,0,0,0,0,0
空大及附設進修學校,1A62,美和科技大學附進修學院,0,0,82,0,0,0,0,34,0,0
空大及附設進修學校,1A63,大仁科技大學附進修學院,0,0,0,0,0,0,0,1,0,0
空大及附設進修學校,1A64,蘭陽技術學院附進修學院,0,0,3,0,0,0,0,2,0,0
空大及附設進修學校,1A65,經國管理暨健康學院附進修學院,0,0,11,0,0,0,0,6,0,0
空大及附設進修學校,1A67,崇右技術學院附進修學院,0,0,104,0,0,0,0,19,0,0
空大及附設進修學校,1A68,南開科技大學附進修學院,0,0,5,0,0,0,0,0,0,0
空大及附設進修學校,1A70,亞太創意技術學院附進修學院,0,0,9,0,0,0,0,4,0,0
空大及附設進修學校,1A75,元培醫事科技大學附進修專校,0,0,0,6,0,0,0,0,0,0
空大及附設進修學校,1A76,東方設計學院附進修學院,0,0,3,0,0,0,0,1,0,0
空大及附設進修學校,1A77,華夏科技大學附進修學院,0,0,3,0,0,0,0,0,0,0
空大及附設進修學校,1A78,華夏科技大學附進修專校,0,0,0,5,0,0,0,0,1,0
空大及附設進修學校,1A79,樹德科技大學附進修專校,0,0,0,22,0,0,0,0,4,0
空大及附設進修學校,1A82,慈濟科技大學附進修學院,0,0,6,0,0,0,0,0,0,0
空大及附設進修學校,1A83,台北海洋技術學院附進修專校,0,0,0,1,0,0,0,0,0,0
空大及附設進修學校,3A01,高雄市立空中大學,0,0,46,0,0,0,0,11,0,0
